generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
0,321.3246,273.74463,1102.4624,859.26074,0.0,0.0
10,255.87102,244.871,1250.3611,713.7142,198.33505,198.33505
20,261.24496,245.57492,713.55426,693.55426,86.93951,71.98656
30,234.65813,229.44812,823.43164,715.43164,40.841377,40.841377
40,111.543526,97.51354,548.8007,400.80072,19.85587,19.85587
50,297.7691,273.40912,911.36707,305.71686,10.751003,0.0
60,413.57614,288.67627,763.9637,709.9637,116.030655,116.030655
70,265.4163,264.82626,283.03036,283.03036,112.0898,112.0898
80,194.8674,121.187294,1239.7991,709.7991,23.671722,12.179897
90,303.9966,303.9966,651.26825,651.26825,272.88943,272.88943
100,407.23065,367.90054,1012.8385,792.8385,40.841377,40.841377
110,213.91678,212.95677,305.60223,285.60223,51.33023,51.33023
120,971.594,766.0337,1086.3562,846.35626,196.32318,196.32318
130,350.28613,277.94595,364.85587,299.2298,232.87701,232.87701
140,297.47943,176.30908,958.7984,731.0,239.46538,67.46538
150,575.70575,354.39624,703.25946,393.25946,251.16968,238.88965
160,234.3145,198.38448,1409.4679,1111.4679,48.343933,48.343933
170,326.04858,324.7786,872.6865,778.6865,121.87279,121.87279
180,422.30008,301.13995,803.95374,709.95374,57.960125,57.960125
190,407.78067,279.01093,575.73553,403.73553,35.568394,15.568393
200,458.954,385.97375,1044.6511,858.6512,165.68196,92.37062
210,372.41144,335.2614,905.8603,703.8603,48.348824,48.348824
220,143.01457,140.01459,521.7418,315.74182,97.15904,85.69187
230,347.65442,263.43433,1124.9592,803.2213,258.69794,3.4680002
240,796.0519,685.9518,1045.3284,883.3283,232.30573,212.30573
250,404.8211,338.88113,1376.0,888.31274,237.48729,90.74056
260,421.32153,300.67172,969.28314,787.28314,126.159515,126.159515
270,82.15293,51.042934,1051.7893,683.78937,31.293892,0.22022915
280,167.6884,127.158424,645.0,443.0,113.047356,59.047356
290,324.2954,281.09537,932.10706,708.83673,0.0,0.0
300,148.35164,133.68163,364.42758,315.31735,79.48269,79.48269
310,91.26056,74.62049,503.5614,301.5614,32.78043,14.139428
320,155.41942,120.269356,365.32828,312.18356,64.75101,10.751003
330,198.18835,147.23814,700.87946,700.87946,142.56119,8.171369
340,590.97424,554.69415,748.7938,694.7938,0.0,0.0
350,341.6961,336.7761,823.32837,823.32837,112.98471,112.98471
360,237.35106,185.28107,367.32156,313.32156,0.0,0.0
370,287.91693,285.88693,363.2045,303.78836,109.93097,78.2097
380,298.92245,292.9225,764.2919,430.29187,212.19478,212.19478
390,546.77466,435.41458,1704.5321,1104.5321,215.62437,215.62437
400,252.60245,216.15244,355.43777,301.43777,32.78043,32.78043
410,341.4481,255.91812,1232.3289,702.32886,113.06278,93.06278
420,262.03952,201.45981,360.54178,340.54178,70.391235,70.391235
430,165.4829,159.7629,1343.7648,1125.7648,80.362305,80.362305
440,377.7752,274.01538,1333.0,1131.0,163.25063,161.4355
450,244.20598,163.06577,369.32846,318.71088,48.348824,48.348824
460,167.87439,160.3644,445.14752,425.14752,68.518555,47.675507
470,331.75406,326.944,740.249,731.0,136.88765,136.88765
480,229.2232,229.02321,296.9325,296.9325,223.84991,219.05667
490,293.8219,281.42194,572.7317,386.73172,53.00885,53.00885
500,322.76978,262.3596,440.3963,420.3963,79.20233,79.20233
510,230.35321,223.52318,444.57993,306.63574,54.646164,54.646164
520,289.40518,266.29523,565.25946,393.25946,276.30707,217.8163
530,289.61438,274.6244,413.0,310.6497,37.78156,37.78156
540,427.16586,224.00627,1072.6377,671.1397,55.558575,52.02326
550,269.35718,147.52704,1065.2456,569.24567,68.47624,68.47624
560,231.40167,229.92166,608.00586,406.00583,189.9596,163.53737
570,118.911026,80.96094,474.4646,400.4646,54.0,0.0
580,485.6631,329.41397,971.24567,873.24567,88.5582,32.78043
590,445.00864,372.91855,1034.6865,791.72186,109.4155,35.415497
600,315.44492,269.43503,412.5443,315.9159,102.31233,47.504593
