generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
0,633.5615,598.8715,2119.5894,1951.5895,244.76665,244.76665
10,795.19196,744.22217,2274.419,1964.4191,313.11057,293.11057
20,371.06204,361.32202,2274.419,1964.4191,243.34323,243.34323
30,482.4189,471.0589,2274.419,1964.4191,283.10977,283.10977
40,381.83786,370.8479,2274.419,1964.4191,281.16443,281.16443
50,950.2894,888.5793,2274.419,1964.6217,307.71698,307.71698
60,689.1738,678.2938,2927.5308,2745.5308,291.66205,291.66205
70,969.665,913.0051,2927.5308,2745.5308,311.30063,311.30063
80,913.19037,782.4197,2927.5308,2745.5308,259.656,259.656
90,430.74997,405.08994,2927.5308,2745.5308,296.94882,296.94882
100,960.4007,903.6007,2927.5308,2745.5308,295.54797,295.54797
110,979.1008,917.29083,2927.5308,2745.5308,702.95917,702.95917
120,389.80902,365.32898,2927.5308,2745.5308,273.09735,273.09735
130,530.9221,513.80206,2927.5308,2745.5308,301.33347,301.33347
140,956.4787,916.0987,2947.5332,2761.5332,299.34882,299.34882
150,434.36383,422.86383,2947.5332,2761.5332,312.0101,312.0101
160,414.02582,402.42578,2947.5332,2761.5332,291.84137,291.84137
170,442.58337,429.02335,3254.3215,2762.3215,308.65625,308.65625
180,795.0712,748.8412,3254.3215,2762.3215,312.0101,312.0101
190,593.6954,566.63544,3254.3215,2762.3215,301.59738,301.59738
200,1027.0623,963.55237,3254.3215,2762.3215,299.34882,299.34882
210,452.44754,426.15753,3254.3215,2762.3215,299.34882,299.34882
220,884.45483,853.61487,3254.3215,2762.3215,711.14417,711.14417
230,449.39563,436.3756,3254.3215,2762.3215,318.94608,318.94608
240,442.9168,416.1668,3254.3215,2762.3215,291.84137,291.84137
250,728.99054,670.36053,3254.3215,2762.3215,318.94608,318.94608
260,705.19025,690.1002,3254.3215,2762.3215,300.29446,300.29446
270,433.81497,418.08493,3254.3215,2762.3215,291.84137,291.84137
280,439.31747,424.22745,3254.3215,2762.3215,291.84137,291.84137
290,440.52216,424.25214,3254.3215,2762.3215,288.4189,288.4189
300,872.01337,768.4038,3254.3215,2762.3215,243.56665,243.56665
310,434.47833,418.30832,3254.3215,2762.3215,291.84137,291.84137
320,1155.4419,1065.5818,3254.3215,2762.3215,314.38123,314.38123
330,1122.2092,983.3591,3254.3215,2762.3215,304.6452,304.6452
340,1463.5542,1358.1843,3254.3215,2762.3215,251.93571,251.93571
350,426.20325,411.11325,3254.3215,2762.3215,291.84137,291.84137
360,1454.3934,1243.6136,3254.3215,2762.3215,283.2322,283.2322
370,1088.7983,1033.6483,3254.3215,2762.3215,312.3798,312.3798
380,1615.9072,1405.4861,3254.3215,2762.3215,304.0858,304.0858
